Epoch,Train Loss,Val Loss,Bleu Score,Time Taken
0,0.5728076642417907,0.41131568049627637,0.9259282731212364,832.5651431083679
1,0.3026478292822838,0.23062925454643038,0.9765169491525532,832.9366867542267
2,0.1840548804306984,0.1484424914159472,0.9849237288135697,827.7012805938721
3,0.12230979440033436,0.10611495204151623,0.9897711864406847,830.9451491832733
4,0.08373987200289965,0.08121368714741298,0.9919406779661072,835.4474639892578
5,0.05655471685513854,0.06452980276847643,0.9936186440678001,830.5740909576416
6,0.03683073143176734,0.05519482080218575,0.9944491525423758,833.8570771217346
7,0.02233944688303396,0.048766155763240976,0.9950847457627153,832.0587427616119
8,0.012539618088491262,0.04507854838101637,0.9956016949152571,846.5718009471893
9,0.006986181721054018,0.041454106014931484,0.9957881355932232,829.5237247943878
